,player,position
1799,Teddy Teuma,CM
1800,Arthur Theate,CB
1801,Adrien Thomasson,AM
1802,Khéphren Thuram,CM
1803,Cheikh Tidiane Sabaly,AM
1804,Jean-Clair Todibo,CB
1805,Corentin Tolisso,CM
1806,Abdoulaye Touré,CM
1807,Souleymane Touré,CB
1808,Ismaël Traoré,CB
1809,Adrien Truffert,FB
1810,Matthieu Udol,FB
1811,Manuel Ugarte Ribeiro,CM
1812,Kévin Van Den Kerkhof,AM
1813,Vanderson,FB
1814,Jordan Veretout,CM
1815,Alan Virginius,AM
1816,Vitinha,FW
1817,Vitinha,CM
1818,Elye Wahi,FW
1819,Josh Wilson-Esbrand,FB
1820,Christopher Wooh,CB
1821,Yusuf Yazıcı,AM
1822,Bertuğ Yıldırım,FW
1823,Darlin Yongwa,FB
1824,Leny Yoro,CB
1825,Etienne Youte Kinkoue,CB
1826,Warren Zaïre-Emery,CM
1827,Denis Zakaria,"CM, CB"
1828,Mehdi Zeffane,FB
1829,Nathan Zeze,CB
1830,Edon Zhegrova,AM
