player,nationality,position,team,age,birth_year,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,matches,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
Thomas Strakosha,al ALB,GK,Brentford,28,1995,2.0,1.0,135.0,1.5,2.0,1.33,8.0,6.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,1.5,0.2,-0.5,-0.3,12.0,30.0,40.0,56.0,5.0,41.1,35.8,15.0,46.7,39.9,37.0,2.0,5.4,1.0,0.67,10.0
James Trafford,eng ENG,GK,Burnley,20,2002,28.0,28.0,2520.0,28.0,62.0,2.21,166.0,106.0,65.7,3.0,5.0,20.0,2.0,7.1,5.0,5.0,0.0,0.0,0.0,Matches,0.0,10.0,2.0,54.1,0.3,-5.9,-0.21,138.0,606.0,22.8,1332.0,162.0,33.9,31.3,198.0,78.3,54.2,419.0,30.0,7.2,43.0,1.54,15.0
Mark Travers,ie IRL,GK,Bournemouth,24,1999,4.0,4.0,360.0,4.0,5.0,1.25,18.0,13.0,77.8,2.0,0.0,2.0,2.0,50.0,1.0,1.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,5.0,0.23,0.0,0.01,22.0,72.0,30.6,92.0,13.0,55.4,41.7,26.0,80.8,55.6,60.0,3.0,5.0,3.0,0.75,14.8
Matt Turner,us USA,GK,Nott'ham Forest,29,1994,17.0,17.0,1530.0,17.0,28.0,1.65,80.0,52.0,67.5,4.0,5.0,8.0,2.0,11.8,2.0,2.0,0.0,0.0,0.0,Matches,1.0,4.0,0.0,22.1,0.26,-5.9,-0.35,126.0,280.0,45.0,436.0,99.0,42.7,35.7,136.0,69.1,47.0,296.0,30.0,10.1,18.0,1.06,13.3
Bart Verbruggen,nl NED,GK,Brighton,20,2002,21.0,21.0,1890.0,21.0,28.0,1.33,91.0,63.0,72.5,7.0,8.0,6.0,4.0,19.0,3.0,3.0,0.0,0.0,0.0,Matches,0.0,3.0,0.0,25.4,0.25,-2.6,-0.12,55.0,142.0,38.7,789.0,117.0,17.1,24.4,72.0,9.7,15.7,232.0,17.0,7.3,31.0,1.48,15.8
Guglielmo Vicario,it ITA,GK,Tottenham,26,1996,38.0,38.0,3420.0,38.0,61.0,1.61,167.0,109.0,67.7,20.0,6.0,12.0,7.0,18.4,7.0,7.0,0.0,0.0,0.0,Matches,1.0,8.0,3.0,60.0,0.32,2.0,0.05,53.0,225.0,23.6,1363.0,193.0,14.3,24.0,201.0,14.9,22.2,511.0,33.0,6.5,81.0,2.13,17.1
Odisseas Vlachodimos,gr GRE,GK,Nott'ham Forest,29,1994,5.0,5.0,450.0,5.0,12.0,2.4,22.0,10.0,50.0,1.0,0.0,4.0,1.0,20.0,1.0,1.0,0.0,0.0,0.0,Matches,0.0,2.0,0.0,7.9,0.31,-4.1,-0.83,28.0,60.0,46.7,130.0,21.0,25.4,29.6,44.0,61.4,44.3,92.0,3.0,3.3,2.0,0.4,10.3
Julen Agirrezabala,es ESP,GK,Athletic Club,22,2000,4.0,2.0,238.0,2.6,4.0,1.51,12.0,8.0,66.7,1.0,0.0,1.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,2.4,0.2,-1.6,-0.61,18.0,49.0,36.7,78.0,20.0,35.9,32.4,22.0,95.5,64.5,41.0,2.0,4.9,3.0,1.13,15.3
Kepa Arrizabalaga,es ESP,GK,Real Madrid,28,1994,14.0,13.0,1198.0,13.3,9.0,0.68,38.0,30.0,76.3,10.0,2.0,1.0,8.0,61.5,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,1.0,10.0,0.28,2.0,0.15,34.0,92.0,37.0,386.0,57.0,19.2,27.0,70.0,25.7,30.6,157.0,6.0,3.8,10.0,0.75,14.7
Augusto Batalla,ar ARG,GK,Granada,27,1996,17.0,17.0,1530.0,17.0,28.0,1.65,86.0,58.0,67.4,3.0,4.0,10.0,3.0,17.6,0.0,0.0,0.0,0.0,0.0,Matches,0.0,6.0,0.0,22.6,0.27,-5.4,-0.32,127.0,354.0,35.9,566.0,78.0,45.8,39.4,122.0,77.9,55.9,275.0,23.0,8.4,18.0,1.06,14.2
